Recency,Frequency,Monetary,Churn
2,11,5356.2300000000005,0
79,6,13925.93,0
1,39,12683.4,0
4,21,9823.64,0
627,2,1367.89,1
34,8,1617.1,0
738,1,141.0,1
3,52,22950.22,0
8,12,14093.710000000001,0
116,7,9903.24,0
51,8,5020.74,0
37,14,6474.11,0
427,41,5996.83,1
58,15,6559.7300000000005,0
69,4,1917.99,0
326,12,3283.96,1
4,13,6283.24,0
8,74,35233.24,0
20,57,92347.34,0
736,1,181.65,1
14,9,3097.61,0
15,9,2317.43,0
30,22,15526.7,0
157,21,16245.78,0
3,33,24042.65,0
137,12,3914.9500000000003,0
2,57,29018.06,0
157,8,2433.28,0
2,203,113416.91,0
275,55,54144.25,1
32,28,13324.1,0
30,12,2957.4700000000003,0
398,3,1624.84,1
581,2,831.45,1
58,9,1976.3,0
0,28,8537.32,0
21,12,3445.32,0
31,12,8224.37,0
1,19,6621.7,0
1,106,50174.782,0
43,3,940.8000000000001,0
666,3,419.87,1
688,2,148.22,1
1,72,12793.28,0
232,11,3019.2200000000003,1
737,2,1182.0,1
204,6,1433.07,1
143,37,16498.97,0
529,3,684.54,1
10,18,6336.04,0
0,33,9811.04,0
88,10,3297.9300000000003,0
30,10,2533.06,0
67,4,2999.16,0
399,8,1764.02,1
42,11,6308.0,0
59,5,127.9,0
240,5,1582.77,1
95,9,2064.35,0
286,4,2094.57,1
11,15,8698.13,0
1,73,33903.57,0
0,61,49638.26,0
366,6,3127.9900000000002,1
308,3,1679.56,1
301,6,2642.35,1
27,6,4008.52,0
95,11,5257.38,0
78,6,1876.23,0
72,7,3379.93,0
42,19,6775.71,0
210,5,2046.34,1
6,44,39019.51,0
39,35,12523.81,0
0,37,21770.98,0
23,22,8346.66,0
506,3,917.4300000000001,1
32,5,1115.68,0
736,1,214.8,1
30,4,1044.96,0
2,33,12987.95,0
405,3,362.42,1
1,24,8839.67,0
9,156,313437.62,0
18,20,7860.8,0
1,4,1024.83,0
8,25,32051.34,0
23,7,8479.76,0
7,27,14070.25,0
430,3,742.9000000000001,1
44,18,4452.02,0
736,1,82.60000000000001,1
64,7,1969.38,0
434,3,661.39,1
7,13,5982.03,0
16,12,2203.2400000000002,0
381,4,1276.66,1
281,2,257.1,1
2,122,27246.88,0
27,39,14587.87,0
310,4,913.6,1
6,44,6114.03,0
434,2,2605.62,1
0,192,29951.37,0
67,7,2247.72,0
1,151,528602.52,0
0,12,3593.06,0
737,1,246.86,1
28,7,1376.43,0
10,54,20395.34,0
241,7,3216.78,1
13,13,1899.79,0
8,21,5115.76,0
9,11,1803.06,0
3,56,12240.16,0
3,25,11573.62,0
735,1,112.03,1
9,25,9972.550000000001,0
620,2,594.62,1
