Customer ID,Recency,Frequency,Monetary,Cluster,Segment
12362.0,2,11,5356.2300000000005,0,Regular
12435.0,79,6,13925.93,0,Regular
12437.0,1,39,12683.4,0,Regular
12490.0,4,21,9823.64,0,Regular
12533.0,627,2,1367.89,1,Lost
12577.0,34,8,1617.1,0,Regular
12636.0,738,1,141.0,1,Lost
12682.0,3,52,22950.22,0,Regular
12714.0,8,12,14093.710000000001,0,Regular
12758.0,116,7,9903.24,0,Regular
12759.0,51,8,5020.74,0,Regular
12779.0,37,14,6474.11,0,Regular
12835.0,427,41,5996.83,1,Lost
12836.0,58,15,6559.7300000000005,0,Regular
12842.0,69,4,1917.99,0,Regular
12872.0,326,12,3283.96,1,Lost
12913.0,4,13,6283.24,0,Regular
12921.0,8,74,35233.24,0,Regular
12931.0,20,57,92347.34,0,Regular
12934.0,736,1,181.65,1,Lost
12937.0,14,9,3097.61,0,Regular
12948.0,15,9,2317.43,0,Regular
12949.0,30,22,15526.7,0,Regular
12980.0,157,21,16245.78,0,Regular
13001.0,3,33,24042.65,0,Regular
13037.0,137,12,3914.9500000000003,0,Regular
13078.0,2,57,29018.06,0,Regular
13085.0,157,8,2433.28,0,Regular
13089.0,2,203,113416.91,3,Loyal
13093.0,275,55,54144.25,0,Regular
13097.0,32,28,13324.1,0,Regular
13110.0,30,12,2957.4700000000003,0,Regular
13154.0,398,3,1624.84,1,Lost
13175.0,581,2,831.45,1,Lost
13208.0,58,9,1976.3,0,Regular
13269.0,0,28,8537.32,0,Regular
13313.0,21,12,3445.32,0,Regular
13381.0,31,12,8224.37,0,Regular
13394.0,1,19,6621.7,0,Regular
13408.0,1,106,50174.782,3,Loyal
13416.0,43,3,940.8000000000001,0,Regular
13442.0,666,3,419.87,1,Lost
13457.0,688,2,148.22,1,Lost
13468.0,1,72,12793.28,0,Regular
13485.0,232,11,3019.2200000000003,0,Regular
13526.0,737,2,1182.0,1,Lost
13531.0,204,6,1433.07,0,Regular
13564.0,143,37,16498.97,0,Regular
13585.0,529,3,684.54,1,Lost
13590.0,10,18,6336.04,0,Regular
13599.0,0,33,9811.04,0,Regular
13611.0,88,10,3297.9300000000003,0,Regular
13623.0,30,10,2533.06,0,Regular
13635.0,67,4,2999.16,0,Regular
13648.0,399,8,1764.02,1,Lost
13654.0,42,11,6308.0,0,Regular
13666.0,59,5,127.9,0,Regular
13740.0,240,5,1582.77,0,Regular
13748.0,95,9,2064.35,0,Regular
13753.0,286,4,2094.57,1,Lost
13758.0,11,15,8698.13,0,Regular
13767.0,1,73,33903.57,0,Regular
13777.0,0,61,49638.26,0,Regular
13786.0,366,6,3127.9900000000002,1,Lost
13800.0,308,3,1679.56,1,Lost
13819.0,301,6,2642.35,1,Lost
13895.0,27,6,4008.52,0,Regular
13931.0,95,11,5257.38,0,Regular
13946.0,78,6,1876.23,0,Regular
13979.0,72,7,3379.93,0,Regular
13993.0,42,19,6775.71,0,Regular
14000.0,210,5,2046.34,0,Regular
14031.0,6,44,39019.51,0,Regular
14040.0,39,35,12523.81,0,Regular
14051.0,0,37,21770.98,0,Regular
14057.0,23,22,8346.66,0,Regular
14061.0,506,3,917.4300000000001,1,Lost
14080.0,32,5,1115.68,0,Regular
14106.0,736,1,214.8,1,Lost
14108.0,30,4,1044.96,0,Regular
14110.0,2,33,12987.95,0,Regular
14122.0,405,3,362.42,1,Lost
14135.0,1,24,8839.67,0,Regular
14156.0,9,156,313437.62,2,VIP
14159.0,18,20,7860.8,0,Regular
14204.0,1,4,1024.83,0,Regular
14258.0,8,25,32051.34,0,Regular
14286.0,23,7,8479.76,0,Regular
14299.0,7,27,14070.25,0,Regular
14302.0,430,3,742.9000000000001,1,Lost
14341.0,44,18,4452.02,0,Regular
14347.0,736,1,82.60000000000001,1,Lost
14396.0,64,7,1969.38,0,Regular
14425.0,434,3,661.39,1,Lost
14440.0,7,13,5982.03,0,Regular
14467.0,16,12,2203.2400000000002,0,Regular
14478.0,381,4,1276.66,1,Lost
14483.0,281,2,257.1,1,Lost
14527.0,2,122,27246.88,3,Loyal
14543.0,27,39,14587.87,0,Regular
14549.0,310,4,913.6,1,Lost
14560.0,6,44,6114.03,0,Regular
14564.0,434,2,2605.62,1,Lost
14606.0,0,192,29951.37,3,Loyal
14644.0,67,7,2247.72,0,Regular
14646.0,1,151,528602.52,2,VIP
14653.0,0,12,3593.06,0,Regular
14654.0,737,1,246.86,1,Lost
14662.0,28,7,1376.43,0,Regular
14667.0,10,54,20395.34,0,Regular
14669.0,241,7,3216.78,0,Regular
14710.0,13,13,1899.79,0,Regular
14713.0,8,21,5115.76,0,Regular
14723.0,9,11,1803.06,0,Regular
14735.0,3,56,12240.16,0,Regular
14739.0,3,25,11573.62,0,Regular
14750.0,735,1,112.03,1,Lost
14755.0,9,25,9972.550000000001,0,Regular
14771.0,620,2,594.62,1,Lost
14799.0,50,2,338.15000000000003,0,Regular
14831.0,679,3,1676.57,1,Lost
14838.0,422,2,769.9200000000001,1,Lost
14841.0,52,14,7163.0,0,Regular
14865.0,6,4,92.52,0,Regular
14871.0,2,9,1228.17,0,Regular
14894.0,84,3,1492.81,0,Regular
14898.0,22,14,3365.95,0,Regular
14905.0,156,8,1971.39,0,Regular
14911.0,0,398,291420.81,2,VIP
14915.0,90,11,1811.25,0,Regular
14952.0,59,32,17629.35,0,Regular
14958.0,146,6,941.99,0,Regular
14961.0,10,22,16410.15,0,Regular
14967.0,49,6,1982.6100000000001,0,Regular
14980.0,736,1,150.68,1,Lost
14987.0,15,8,1550.6499999999999,0,Regular
15005.0,15,56,13754.58,0,Regular
15051.0,22,9,3926.91,0,Regular
15061.0,3,127,126389.02,3,Loyal
15078.0,6,53,17286.73,0,Regular
15179.0,17,13,7491.92,0,Regular
15194.0,2,28,12021.53,0,Regular
15255.0,65,9,3706.02,0,Regular
15265.0,150,4,3345.64,0,Regular
15287.0,21,5,856.03,0,Regular
15291.0,25,40,13517.76,0,Regular
15311.0,0,208,114966.42,3,Loyal
15326.0,333,5,1700.52,1,Lost
15353.0,254,7,2794.47,0,Regular
15362.0,448,2,613.08,1,Lost
15380.0,8,11,3248.96,0,Regular
15413.0,691,5,6798.72,1,Lost
15466.0,84,4,1560.46,0,Regular
15482.0,15,19,14417.36,0,Regular
15485.0,29,7,4810.92,0,Regular
15523.0,83,16,17259.19,0,Regular
15542.0,511,3,855.71,1,Lost
15550.0,3,12,2211.05,0,Regular
15581.0,120,38,7480.4,0,Regular
15601.0,10,30,14191.74,0,Regular
15602.0,7,16,3137.96,0,Regular
15615.0,9,47,21373.97,0,Regular
15658.0,189,8,2117.27,0,Regular
15662.0,660,2,283.73,1,Lost
15680.0,8,10,4028.69,0,Regular
15712.0,8,12,3472.41,0,Regular
15719.0,31,31,10195.97,0,Regular
15750.0,1,18,6452.991,0,Regular
15755.0,9,17,5993.12,0,Regular
15759.0,217,7,830.9300000000001,0,Regular
15768.0,115,34,15308.89,0,Regular
15793.0,14,8,2399.57,0,Regular
15794.0,735,2,777.0,1,Lost
15808.0,305,21,17180.25,1,Lost
15833.0,737,1,80.4,1,Lost
15856.0,3,52,32275.95,0,Regular
15884.0,431,2,244.60000000000002,1,Lost
15917.0,247,5,530.17,0,Regular
15945.0,364,4,646.27,1,Lost
15953.0,14,18,3440.34,0,Regular
15965.0,16,13,2771.94,0,Regular
15967.0,22,12,2966.0,0,Regular
15984.0,2,30,8393.02,0,Regular
15989.0,375,2,368.31,1,Lost
15998.0,35,16,8274.14,0,Regular
16003.0,29,10,5613.83,0,Regular
16011.0,7,29,5601.01,0,Regular
16086.0,58,10,2687.73,0,Regular
16126.0,28,15,14644.6,0,Regular
16131.0,51,12,9957.42,0,Regular
16139.0,18,5,1111.15,0,Regular
16156.0,7,20,6188.18,0,Regular
16159.0,280,4,1232.79,1,Lost
16163.0,231,6,2407.98,0,Regular
16167.0,413,5,1386.12,1,Lost
16168.0,9,66,10360.67,0,Regular
16200.0,3,12,5608.1,0,Regular
16202.0,360,9,2501.9900000000002,1,Lost
16210.0,0,35,33750.97,0,Regular
16233.0,70,9,1818.31,0,Regular
16301.0,736,1,107.33,1,Lost
16321.0,71,7,604.5500000000001,0,Regular
16329.0,426,4,1664.92,1,Lost
16335.0,551,7,2753.52,1,Lost
16393.0,1,23,5297.77,0,Regular
16467.0,508,7,2869.16,1,Lost
16497.0,49,23,6695.28,0,Regular
16525.0,1,48,24151.3,0,Regular
16550.0,108,18,8813.58,0,Regular
16558.0,0,38,13304.11,0,Regular
16563.0,53,6,4412.56,0,Regular
16612.0,32,9,3245.4300000000003,0,Regular
16620.0,3,6,1758.93,0,Regular
16645.0,735,1,160.39,1,Lost
16700.0,8,25,8830.77,0,Regular
16701.0,8,26,9916.73,0,Regular
16711.0,2,9,2868.48,0,Regular
16722.0,16,22,8189.56,0,Regular
16736.0,505,5,2956.56,1,Lost
16763.0,198,2,964.6999999999999,0,Regular
16779.0,1,53,32809.03,0,Regular
16791.0,28,15,3957.63,0,Regular
